,ATE_hls,AUUC_hls,QINI_hls
0,1.4766496419906616,0.6147372755303342,0.14104034946122718
1,-0.2567414343357086,0.43934959266576656,-0.03288798130019312
2,-11.930058479309082,0.3818389655829365,-0.09074639522230132
3,-0.6749006509780884,0.4034009944356217,-0.06886607315159772
4,-7.333392143249512,0.3692634855193451,-0.10309546785572446
5,0.778398871421814,0.637423699282144,0.16339688849360262
6,-0.5024187564849854,0.491387911930409,0.01686704095628383
7,0.9966778755187988,0.6286618478132932,0.15283163658105128
8,0.7592846751213074,0.6576993771916155,0.18176952171308697
9,-0.5133662819862366,0.4487212177754579,-0.024123711486840043
10,3.838604211807251,0.611874266318574,0.13796227810347367
11,1.796903371810913,0.6246102464830211,0.15014715371233545
12,-3.423915386199951,0.3541437090952607,-0.11851151578078638
13,4.460651397705078,0.6264687105770507,0.1519793327909135
14,5.224209785461426,0.6083129455786435,0.13412180002767263
15,5.017593860626221,0.614738519713731,0.14057206469474687
16,2.0890750885009766,0.5992220626556567,0.12643833375695435
17,0.9786314368247986,0.6195472345080811,0.14506375511706684
18,-5.715732574462891,0.3885283609700406,-0.08396872866638329
19,0.36607009172439575,0.44814908759711347,-0.023496106105260057
20,-1.9706872701644897,0.3811224966782381,-0.09116930656602773
21,-4.63444709777832,0.4292547597240183,-0.0440931422108215
22,4.80568265914917,0.6331232842198691,0.1581179697634955
23,4.2378034591674805,0.6407281573064929,0.1657877283701731
24,0.4378403127193451,0.42693136053630454,-0.04482663131736903
25,3.8150882720947266,0.6339911579687216,0.15895923615585295
26,2.599339485168457,0.6277272839560555,0.152777832677672
27,-3.087616205215454,0.35695494369165554,-0.11551632062582642
28,0.43233242630958557,0.40271235307554776,-0.0686473814764583
29,-1.9263821840286255,0.3537089363156934,-0.11872965709758429
30,-10.44849967956543,0.38368650993236264,-0.08883383710034043
