,hln_2,dr_2,lr_2,ATE_2,AUUC_2
1,30,0.5,0.0001,1.176677,0.6424911722072917
2,30,0.5,0.00039999999999999996,0.22229892,0.6086336477854826
3,30,0.5,0.0007,0.23231697,0.6042095502405695
4,30,0.5,0.001,0.14715113,0.5986800299098208
5,30,0.6,0.0001,1.6924634,0.6346761591069423
6,30,0.6,0.00039999999999999996,1.3511212,0.6316495749136458
7,30,0.6,0.0007,1.1394122,0.6295997913120408
8,30,0.6,0.001,0.9263651,0.6276190385675398
9,30,0.7000000000000001,0.0001,4.897061,0.6390456469326047
10,30,0.7000000000000001,0.00039999999999999996,4.44356,0.639903924867492
11,30,0.7000000000000001,0.0007,4.1608405,0.6400865872107204
12,30,0.7000000000000001,0.001,3.822961,0.6398593578542472
13,30,0.8,0.0001,13.437699,0.6341273981171485
14,30,0.8,0.00039999999999999996,7.8481765,0.6391025539429882
15,30,0.8,0.0007,7.280306,0.6093784348643346
16,30,0.8,0.001,-0.40159824,0.5636495669104723
17,50,0.5,0.0001,0.7523502,0.6440045897548746
18,50,0.5,0.00039999999999999996,0.41295722,0.6356775688359984
19,50,0.5,0.0007,0.11920595,0.6237772818108249
20,50,0.5,0.001,-0.32941288,0.6178866654226303
21,50,0.6,0.0001,2.114637,0.6458430493006863
22,50,0.6,0.00039999999999999996,0.99312514,0.6299620472840345
23,50,0.6,0.0007,0.54351807,0.612762643808216
24,50,0.6,0.001,1.4552025,0.6182198424187244
25,50,0.7000000000000001,0.0001,2.4546185,0.6400991140772315
26,50,0.7000000000000001,0.00039999999999999996,0.84228045,0.6345575638886317
27,50,0.7000000000000001,0.0007,0.71922904,0.6233352235165028
28,50,0.7000000000000001,0.001,6.23975,0.6500245978745662
29,50,0.8,0.0001,2.056653,0.6455515014529579
30,50,0.8,0.00039999999999999996,0.9011326,0.6465495390013216
31,50,0.8,0.0007,0.9204523,0.6329238823244684
32,50,0.8,0.001,0.39178798,0.6284606881222554
33,70,0.5,0.0001,-2.0132792,0.44881352403327507
34,70,0.5,0.00039999999999999996,-1.899293,0.4661095567325555
35,70,0.5,0.0007,-0.82488084,0.4734424209625513
36,70,0.5,0.001,-2.2207546,0.4901836841122017
37,70,0.6,0.0001,-0.5880156,0.46974100226892246
38,70,0.6,0.00039999999999999996,-1.6419213,0.48794339970656325
39,70,0.6,0.0007,-3.2267416,0.4659641634011956
40,70,0.6,0.001,-2.787251,0.45551400514954754
41,70,0.7000000000000001,0.0001,-0.9670154,0.5095090086327231
42,70,0.7000000000000001,0.00039999999999999996,-0.90623313,0.49466171874739473
43,70,0.7000000000000001,0.0007,-1.4587686,0.4648903230003409
44,70,0.7000000000000001,0.001,-0.6826158,0.4536142674684768
45,70,0.8,0.0001,-1.1464454,0.5170485013757959
46,70,0.8,0.00039999999999999996,-1.4025431,0.44011556551079656
47,70,0.8,0.0007,-1.3154489,0.4297104076327648
48,70,0.8,0.001,-1.3225938,0.41363968294605585
